;cpi;lci;exp1;exp10;energy_cpi;food_cpi;vu;shortage;productivity;fiscal
1986-10-01;110,800;51,8697368;3,63770040;3,48008330;82,500;111,400;0,585082;5;58,643;0,202764197
1987-01-01;112,200;52,2855263;3,09458750;3,38557910;87,600;112,400;0,612459;5;58,373;0,679731885
1987-04-01;113,500;52,7013158;3,98080060;3,90501880;88,500;113,900;0,679102;5;58,764;4,939688511
1987-07-01;114,700;53,2210526;4,27713880;4,14896920;90,300;114,300;0,733954;5;58,772;2,798931189
1987-10-01;115,600;53,7407895;4,08368700;4,25914510;89,500;115,100;0,761538;5;59,350;-0,678901239
1988-01-01;116,500;54,4684211;3,68084330;3,81099430;88,400;115,800;0,753433;5;59,560;2,351177875
1988-04-01;118,000;55,0921053;3,94807550;4,12905910;88,900;117,600;0,799992;5;59,715;4,733583094
1988-07-01;119,500;55,7157895;4,41421400;4,16973370;89,800;120,100;0,791405;5;59,870;2,450325756
1988-10-01;120,700;56,3394737;4,46125830;4,12290570;89,600;121,100;0,818178;5;60,011;0,449756944
1989-01-01;122,200;56,9631579;4,53050510;4,32888160;91,800;123,200;0,806784;5;60,041;1,095504053
1989-04-01;124,100;57,6907895;4,38413840;3,96019830;96,900;125,100;0,791483;5;60,226;6,163901066
1989-07-01;124,800;58,5223684;4,02127280;3,79750900;93,800;126,300;0,759458;5;60,513;2,041625076
1989-10-01;126,300;59,2500000;3,66035930;3,66326450;94,200;127,800;0,745857;5;60,520;0,68663719
1990-01-01;128,600;59,9776316;3,99251570;3,95728430;97,600;131,000;0,720765;5;61,086;0,218286838
1990-04-01;129,900;60,8092105;4,19087620;3,95429830;97,300;132,100;0,678872;5;61,507;4,12452201
1990-07-01;132,500;61,5368421;4,73223850;4,07342670;106,500;133,600;0,603296;5;61,700;1,667388182
1990-10-01;134,200;62,1605263;4,88768220;3,85662720;111,000;134,600;0,487495;5;61,061;0,156432157
1991-01-01;134,800;62,7842105;3,78863390;3,86816940;101,900;135,300;0,398918;5;61,249;1,356005297
1991-04-01;136,000;63,6157895;3,57658480;3,86532400;101,100;137,400;0,373043;5;62,247;3,552672369
1991-07-01;137,000;64,1355263;3,58585510;3,69041410;101,500;136,400;0,358762;5;62,780;-0,002846736
